,toxic_mean_test_F1,toxic_AUC,toxic_params,toxic_classifier,toxic_training_time,severe_toxic_mean_test_F1,severe_toxic_AUC,severe_toxic_params,severe_toxic_classifier,severe_toxic_training_time,obscene_mean_test_F1,obscene_AUC,obscene_params,obscene_classifier,obscene_training_time,threat_mean_test_F1,threat_AUC,threat_params,threat_classifier,threat_training_time,insult_mean_test_F1,insult_AUC,insult_params,insult_classifier,insult_training_time,identity_hate_mean_test_F1,identity_hate_AUC,identity_hate_params,identity_hate_classifier,identity_hate_training_time
0,0.018319282356046296,0.6195297572250691,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,92.0900040268898,0.0001923630822081929,0.681505985122992,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,176.18496698141098,0.005847544895547423,0.650365384878616,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,266.4912680387497,2.0114913558451663e-05,0.6633615341971497,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,360.58606147766113,0.004964274858286396,0.6222723628204198,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,449.29495072364807,0.00014399532584823585,0.6354221186990883,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,848.4286894798279
2,0.018548886746551176,0.6482752580362735,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,92.0900040268898,0.00019645464811044708,0.7201519329402547,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,176.18496698141098,0.005903129015973974,0.6546471421306379,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,266.4912680387497,2.076886706587943e-05,0.6772665288917112,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,360.58606147766113,0.005046419374764329,0.6582573534958857,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,449.29495072364807,0.00014280725695411145,0.6412868080032541,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 150, 'clf__n_jobs': 5}",Isolation Forest,848.4286894798279
3,0.018692852018536175,0.6539337279138044,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,92.0900040268898,0.00019561366952580635,0.7478514260475165,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,176.18496698141098,0.005933555896862076,0.6710512781939574,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,266.4912680387497,2.0732719456136293e-05,0.7041659680326602,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,360.58606147766113,0.005072399887679304,0.6661513802123971,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,449.29495072364807,0.0001426746714420891,0.6594066527361013,"{'clf__contamination': 0.1, 'clf__max_features': 15, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,848.4286894798279
1,0.018402784787731368,0.6400213645482653,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,92.0900040268898,0.00019306200141941434,0.7282716739537373,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,176.18496698141098,0.005868867542341419,0.6491739155261607,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,266.4912680387497,2.022840023089922e-05,0.6825747905551547,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,360.58606147766113,0.005033586617250308,0.6526898784621636,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,449.29495072364807,0.00014091722541815366,0.6358165784933651,"{'clf__contamination': 0.1, 'clf__max_features': 5, 'clf__max_samples': 250, 'clf__n_estimators': 500, 'clf__n_jobs': 5}",Isolation Forest,848.4286894798279
